id,document_id,matter_id,title,type,status,created_at,updated_at
5a3bf8a8-98cb-4c2c-94c1-1e2f19aeeaaa,doc-mr62f93j-fome0p,mock-intake-1783151601099-confirm-doc,op.pdf,challenge_opinion,draft,2026-07-04 07:53:21.11,2026-07-04 07:53:21.11
53ad40c2-2b50-4396-8529-cf3e941ab178,test-doc-1783043503030-22iy94-1783043503137,test-matter-1783043503030-22iy94,Doc 1,"",draft,2026-07-03 01:51:43.139,2026-07-03 01:51:43.139
9440279e-5d2c-4eb2-9dd2-8a34a63ef8c7,doc-mr62fa88-2d2dge,mock-intake-1783151602560-confirm-doc,op.pdf,challenge_opinion,draft,2026-07-04 07:53:22.575,2026-07-04 07:53:22.575
0aa1ce2d-d193-471c-b825-2b46c2f4f710,doc-mr62w4i6-mnyyt2,mock-intake-1783152388299-confirm-doc,op.pdf,challenge_opinion,draft,2026-07-04 08:06:28.309,2026-07-04 08:06:28.309
fe38704e-dc7f-42d5-903b-ac8c9a1f2d55,doc-1783152388332,mock-intake-1783152388330-dus-c,challenge doc,challenge_opinion,draft,2026-07-04 08:06:28.333,2026-07-04 08:06:28.333
17747caf-7b0e-48ee-91fc-d7175ce0432b,doc-mr4m9sex-zhmkxi,test-matter-aert-1783064005895-o8d97x,Draft preservation notice,"",draft,2026-07-03 07:33:26.386,2026-07-03 07:33:26.386
e1a90ef0-6e5f-4f5f-9d12-2d6394b57ef9,doc-mr62w5oi-8qcvgk,mock-intake-1783152389801-confirm-doc,op.pdf,challenge_opinion,draft,2026-07-04 08:06:29.929,2026-07-04 08:06:29.929
1377b434-bf24-423b-bbe9-e8f31ee1c966,doc-1783152389984,mock-intake-1783152389977-dus-c,challenge doc,challenge_opinion,draft,2026-07-04 08:06:29.985,2026-07-04 08:06:29.985
f48ee6dc-76cc-4aa6-9cb7-7148bdafbff0,doc-mr6380hp-bj032f,mock-intake-1783152942969-confirm-doc,op.pdf,challenge_opinion,draft,2026-07-04 08:15:42.98,2026-07-04 08:15:42.98
ed154663-1260-490a-b5dd-3d8d49e3e3e4,doc-1783152942999,mock-intake-1783152942999-dus-c,challenge doc,challenge_opinion,draft,2026-07-04 08:15:43,2026-07-04 08:15:43
5672e156-7069-4a6f-95b0-9ddad0393936,doc-mr4ma4gd-scf0xw,test-matter-aert-1783064021435-w10z2u,Draft preservation notice,"",draft,2026-07-03 07:33:41.783,2026-07-03 07:33:41.783
16bff0d5-f724-439d-ac5c-474b04523999,doc-mr4mow9m-t9rj8c,test-matter-aert-1783064710805-nkjdal,Draft preservation notice,"",draft,2026-07-03 07:45:11.148,2026-07-03 07:45:11.148
bca2b935-7ae2-4087-b4a7-5467f7bb8aa6,doc-mr6381og-vp4mxf,mock-intake-1783152944496-confirm-doc,op.pdf,challenge_opinion,draft,2026-07-04 08:15:44.553,2026-07-04 08:15:44.553
fd9a7132-949e-4c6c-8b19-39a785379b13,doc-1783152944678,mock-intake-1783152944643-dus-c,challenge doc,challenge_opinion,draft,2026-07-04 08:15:44.679,2026-07-04 08:15:44.679
03496c22-9fbe-47a6-b8b8-347c7dc36188,doc-mr655x3u-1gamy6,mock-intake-1783156204503-confirm-doc,op.pdf,challenge_opinion,draft,2026-07-04 09:10:04.511,2026-07-04 09:10:04.511
38185b72-8060-4368-a8d4-9b51d0161043,doc-1783156204527,mock-intake-1783156204527-dus-c,challenge doc,challenge_opinion,draft,2026-07-04 09:10:04.528,2026-07-04 09:10:04.528
75ae8ce3-59e6-436b-b4b8-8919f1883c09,doc-orig-1783156204532,mock-intake-1783156204531-cdu,Original Doc,representation,active,2026-07-04 09:10:04.532,2026-07-04 09:10:04.532
eda155fb-957e-4cd7-af92-c2572d34ff42,doc-mr4mpv0g-p7pf1j,test-matter-aert-1783064755859-w2exzy,Draft preservation notice,"",draft,2026-07-03 07:45:56.087,2026-07-03 07:45:56.087
27a064bd-84e4-4e3f-9bcf-78bfca319c1d,doc-mr655x4l-wbflog,mock-intake-1783156204531-cdu,代理词（更新）,representation,draft,2026-07-04 09:10:04.539,2026-07-04 09:10:04.539
50d3816d-da43-4fa4-8452-8d205d4d6281,doc-mr655x4u-h1v3i2,mock-intake-1783156204531-cdu,庭审提纲（更新）,hearing_outline,draft,2026-07-04 09:10:04.542,2026-07-04 09:10:04.542
94f779f4-84c1-4439-99d9-e22b9cab2b5d,doc-mr4mxowo-kpczeh,test-matter-aert-1783065121156-ds8sf0,Draft preservation notice,"",draft,2026-07-03 07:52:01.416,2026-07-03 07:52:01.416
3bd39d14-ed39-4730-824f-d0195952214e,doc-mr655y4d-fh3ld5,mock-intake-1783156205808-confirm-doc,op.pdf,challenge_opinion,draft,2026-07-04 09:10:05.892,2026-07-04 09:10:05.892
b593904c-2e3e-492a-ac56-f6eda44c9f50,doc-1783156206017,mock-intake-1783156206006-dus-c,challenge doc,challenge_opinion,draft,2026-07-04 09:10:06.018,2026-07-04 09:10:06.018
e52edc94-11ce-4c76-817d-3a873462acfd,doc-orig-1783156206048,mock-intake-1783156206045-cdu,Original Doc,representation,active,2026-07-04 09:10:06.049,2026-07-04 09:10:06.049
b757cbfc-a911-43f6-978e-28a8d0e01276,doc-mr4mxq5u-bcwwhn,test-matter-aert-1783065122844-50x412,Draft preservation notice,"",draft,2026-07-03 07:52:03.024,2026-07-03 07:52:03.024
95d66ea2-e069-4e68-a246-024fd1be042e,doc-mr655yav-l262fp,mock-intake-1783156206045-cdu,代理词（更新）,representation,draft,2026-07-04 09:10:06.07,2026-07-04 09:10:06.07
5988775d-aa51-4714-8703-fb94bcf38626,doc-mr655ybd-zxnpyd,mock-intake-1783156206045-cdu,庭审提纲（更新）,hearing_outline,draft,2026-07-04 09:10:06.074,2026-07-04 09:10:06.074
76cec059-090b-4399-b686-34fb97bcfa4c,doc-mr6674pg-xr44re,mock-intake-1783157940624-confirm-doc,op.pdf,challenge_opinion,draft,2026-07-04 09:39:00.634,2026-07-04 09:39:00.634
7fa2f9be-ba50-416a-a438-439bf3da7090,doc-1783157940649,mock-intake-1783157940648-dus-c,challenge doc,challenge_opinion,draft,2026-07-04 09:39:00.65,2026-07-04 09:39:00.65
aa102e8c-1723-4b3f-b9aa-cb79887bad4a,doc-orig-1783157940654,mock-intake-1783157940654-cdu,Original Doc,representation,active,2026-07-04 09:39:00.655,2026-07-04 09:39:00.655
a9ffa820-cb3c-431e-b37e-31bc3a569e34,doc-mr4n4u1t-9yg7tx,test-matter-aert-1783065454299-lotguy,Assign investigator to collect bank records,"",draft,2026-07-03 07:57:34.628,2026-07-03 07:57:34.628
4deede2c-13db-4bea-a812-bb4587179595,doc-mr4n4u5b-vcsxqa,test-matter-aert-1783065454299-lotguy,Draft preservation notice,"",draft,2026-07-03 07:57:34.752,2026-07-03 07:57:34.752
2a3b123a-c7c6-4bab-a3e2-fbcda86f2f66,doc-mr6674q8-qk05n5,mock-intake-1783157940654-cdu,代理词（更新）,representation,draft,2026-07-04 09:39:00.662,2026-07-04 09:39:00.662
